Localización;Edad;Sexo;Causa De Muerte O Lesión;Porcentaje Del Total Muertes 2017;Variación Porcentual Anual Muertes 2010-2017
Japón;10 a 20 años;Mujeres;Tuberculosis;0,02116;-0,03255
Japón;10 a 20 años;Mujeres;HIV/AIDS;0,01706;-0,04566
Japón;10 a 20 años;Mujeres;Diarrheal diseases;0,02805;-0,01936
Japón;10 a 20 años;Mujeres;Other intestinal infectious diseases;2,59E-05;-0,06631
Japón;10 a 20 años;Mujeres;Lower respiratory infections;0,04573;-0,02115
Japón;10 a 20 años;Mujeres;Upper respiratory infections;0,00016;-0,07241
Japón;10 a 20 años;Mujeres;Otitis media;1,69E-05;-0,05668
Japón;10 a 20 años;Mujeres;Meningitis;0,00515;-0,03739
Japón;10 a 20 años;Mujeres;Encephalitis;0,00165;-0,023
Japón;10 a 20 años;Mujeres;Diphtheria;6,48E-05;-0,13504
Japón;10 a 20 años;Mujeres;Whooping cough;0,00164;-0,04473
Japón;10 a 20 años;Mujeres;Tetanus;0,00068;-0,11213
Japón;10 a 20 años;Mujeres;Measles;0,0017;-0,13506
Japón;10 a 20 años;Mujeres;Varicella and herpes zoster;0,00028;-0,03118
Japón;10 a 20 años;Mujeres;Malaria;0,01108;-0,04518
Japón;10 a 20 años;Mujeres;Chagas disease;0,00014;-0,01474
Japón;10 a 20 años;Mujeres;Leishmaniasis;0,00013;-0,10666
Japón;10 a 20 años;Mujeres;African trypanosomiasis;2,44E-05;-0,18124
Japón;10 a 20 años;Mujeres;Schistosomiasis;0,00016;-0,03064
Japón;10 a 20 años;Mujeres;Cysticercosis;1,34E-05;-0,03632
Japón;10 a 20 años;Mujeres;Cystic echinococcosis;2,14E-05;-0,0512
Japón;10 a 20 años;Mujeres;Lymphatic filariasis; -   ; -   
Japón;10 a 20 años;Mujeres;Onchocerciasis; -   ; -   
Japón;10 a 20 años;Mujeres;Trachoma; -   ; -   
Japón;10 a 20 años;Mujeres;Dengue;0,00072;0,03627
Japón;10 a 20 años;Mujeres;Yellow fever;8,55E-05;-0,03875
Japón;10 a 20 años;Mujeres;Rabies;0,00021;-0,082
Japón;10 a 20 años;Mujeres;Intestinal nematode infections;5,73E-05;-0,06856
Japón;10 a 20 años;Mujeres;Food-borne trematodiases; -   ; -   
Japón;10 a 20 años;Mujeres;Other neglected tropical diseases;0,00022;-0,00686
Japón;10 a 20 años;Mujeres;Maternal disorders;0,00346;-0,03181
Japón;10 a 20 años;Mujeres;Neonatal disorders;0,03188;-0,03358
Japón;10 a 20 años;Mujeres;Protein-energy malnutrition;0,00414;-0,03452
Japón;10 a 20 años;Mujeres;Iodine deficiency; -   ; -   
Japón;10 a 20 años;Mujeres;Vitamin A deficiency; -   ; -   
Japón;10 a 20 años;Mujeres;Dietary iron deficiency; -   ; -   
Japón;10 a 20 años;Mujeres;Other nutritional deficiencies;0,00068;-0,01327
Japón;10 a 20 años;Mujeres;Sexually transmitted infections excluding HIV;0,00213;-0,03037
Japón;10 a 20 años;Mujeres;Acute hepatitis;0,00226;-0,02663
Japón;10 a 20 años;Mujeres;Leprosy; -   ; -   
Japón;10 a 20 años;Mujeres;Other unspecified infectious diseases;0,00142;-0,01212
Japón;10 a 20 años;Mujeres;Esophageal cancer;0,00779;-0,01671
Japón;10 a 20 años;Mujeres;Stomach cancer;0,01546;-0,01443
Japón;10 a 20 años;Mujeres;Liver cancer;0,01465;-0,0003
Japón;10 a 20 años;Mujeres;Larynx cancer;0,00226;0,00177
Japón;10 a 20 años;Mujeres;Tracheal, bronchus, and lung cancer;0,03366;0,0095
Japón;10 a 20 años;Mujeres;Breast cancer;0,01093;0,00646
Japón;10 a 20 años;Mujeres;Cervical cancer;0,00464;-0,00375
Japón;10 a 20 años;Mujeres;Uterine cancer;0,00152;0,00384
Japón;10 a 20 años;Mujeres;Prostate cancer;0,00743;0,01142
Japón;10 a 20 años;Mujeres;Colon and rectum cancer;0,01602;0,00933
Japón;10 a 20 años;Mujeres;Lip and oral cavity cancer;0,00346;0,01743
Japón;10 a 20 años;Mujeres;Nasopharynx cancer;0,00124;0,00333
Japón;10 a 20 años;Mujeres;Other pharynx cancer;0,0021;0,02252
Japón;10 a 20 años;Mujeres;Gallbladder and biliary tract cancer;0,00311;0,00889
Japón;10 a 20 años;Mujeres;Pancreatic cancer;0,00788;0,02185
Japón;10 a 20 años;Mujeres;Malignant skin melanoma;0,0011;0,0093
Japón;10 a 20 años;Mujeres;Non-melanoma skin cancer;0,00116;0,02183
Japón;10 a 20 años;Mujeres;Ovarian cancer;0,00315;0,00776
Japón;10 a 20 años;Mujeres;Testicular cancer;0,00014;-0,00335
Japón;10 a 20 años;Mujeres;Kidney cancer;0,00248;0,01349
Japón;10 a 20 años;Mujeres;Bladder cancer;0,00351;0,00763
Japón;10 a 20 años;Mujeres;Brain and nervous system cancer;0,00442;0,00773
Japón;10 a 20 años;Mujeres;Thyroid cancer;0,00074;0,01603
Japón;10 a 20 años;Mujeres;Mesothelioma;0,00053;0,01692
Japón;10 a 20 años;Mujeres;Hodgkin lymphoma;0,00058;-0,01551
Japón;10 a 20 años;Mujeres;Non-Hodgkin lymphoma;0,00444;0,01196
Japón;10 a 20 años;Mujeres;Multiple myeloma;0,00191;0,01253
Japón;10 a 20 años;Mujeres;Leukemia;0,00621;-0,0018
Japón;10 a 20 años;Mujeres;Other malignant neoplasms;0,00643;0,01897
Japón;10 a 20 años;Mujeres;Other neoplasms;0,00184;0,01839
Japón;10 a 20 años;Mujeres;Rheumatic heart disease;0,0051;-0,01748
Japón;10 a 20 años;Mujeres;Ischemic heart disease;0,15963;0,00388
Japón;10 a 20 años;Mujeres;Stroke;0,11024;-0,00699
Japón;10 a 20 años;Mujeres;Hypertensive heart disease;0,01655;0,02421
Japón;10 a 20 años;Mujeres;Cardiomyopathy and myocarditis;0,00659;-0,01027
Japón;10 a 20 años;Mujeres;Atrial fibrillation and flutter;0,00513;0,02508
Japón;10 a 20 años;Mujeres;Aortic aneurysm;0,00299;-0,00011
Japón;10 a 20 años;Mujeres;Peripheral artery disease;0,00125;0,03294
Japón;10 a 20 años;Mujeres;Endocarditis;0,00149;0,01313
Japón;10 a 20 años;Mujeres;Non-rheumatic valvular heart disease;0,00259;0,02213
Japón;10 a 20 años;Mujeres;Other cardiovascular and circulatory diseases;0,00645;0,0034
Japón;10 a 20 años;Mujeres;Chronic obstructive pulmonary disease;0,05716;-0,00654
Japón;10 a 20 años;Mujeres;Pneumoconiosis;0,00039;-0,01579
Japón;10 a 20 años;Mujeres;Asthma;0,00885;-0,01624
Japón;10 a 20 años;Mujeres;Interstitial lung disease and pulmonary sarcoidosis;0,00264;0,03237
Japón;10 a 20 años;Mujeres;Other chronic respiratory diseases;0,00093;0,00914
Japón;10 a 20 años;Mujeres;Cirrhosis and other chronic liver diseases;0,02365;-0,00109
Japón;10 a 20 años;Mujeres;Appendicitis;0,00079;-0,01004
Japón;10 a 20 años;Mujeres;Paralytic ileus and intestinal obstruction;0,0043;0,00515
Japón;10 a 20 años;Mujeres;Inguinal, femoral, and abdominal hernia;0,00079;0,00462
Japón;10 a 20 años;Mujeres;Inflammatory bowel disease;0,00069;0,00326
Japón;10 a 20 años;Mujeres;Vascular intestinal disorders;0,00172;0,00711
Japón;10 a 20 años;Mujeres;Gallbladder and biliary diseases;0,00198;0,00712
Japón;10 a 20 años;Mujeres;Pancreatitis;0,00182;0,00503
Japón;10 a 20 años;Mujeres;Other digestive diseases;0,00156;0,0046
Japón;10 a 20 años;Mujeres;Alzheimer's disease and other dementias;0,04495;0,02471
Japón;10 a 20 años;Mujeres;Parkinson's disease;0,00609;0,02143
Japón;10 a 20 años;Mujeres;Epilepsy;0,00233;-0,01218
Japón;10 a 20 años;Mujeres;Multiple sclerosis;0,00037;0,00302
Japón;10 a 20 años;Mujeres;Motor neuron disease;0,00061;0,01718
Japón;10 a 20 años;Mujeres;Other neurological disorders;0,00096;0,00842
Japón;10 a 20 años;Mujeres;Schizophrenia; -   ; -   
Japón;10 a 20 años;Mujeres;Alcohol use disorders;0,00331;-0,03099
Japón;10 a 20 años;Mujeres;Drug use disorders;0,00298;0,01068
Japón;10 a 20 años;Mujeres;Depressive disorders; -   ; -   
Japón;10 a 20 años;Mujeres;Bipolar disorder; -   ; -   
Japón;10 a 20 años;Mujeres;Anxiety disorders; -   ; -   
Japón;10 a 20 años;Mujeres;Eating disorders;5,84E-06;0,00535
Japón;10 a 20 años;Mujeres;Autism spectrum disorders; -   ; -   
Japón;10 a 20 años;Mujeres;Attention-deficit/hyperactivity disorder; -   ; -   
Japón;10 a 20 años;Mujeres;Conduct disorder; -   ; -   
Japón;10 a 20 años;Mujeres;Idiopathic developmental intellectual disability; -   ; -   
Japón;10 a 20 años;Mujeres;Other mental disorders; -   ; -   
Japón;10 a 20 años;Mujeres;Diabetes mellitus;0,02449;0,00902
Japón;10 a 20 años;Mujeres;Acute glomerulonephritis;0,0002;-0,00964
Japón;10 a 20 años;Mujeres;Chronic kidney disease;0,02199;0,01741
